2012-08-12 17:01:02 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:03 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:03 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:03 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:14 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:14 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:15 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:15 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:15 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:16 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:16 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:16 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:16 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:04:22 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:09:08 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 90]
2012-08-12 17:09:57 Debug: 0
2012-08-12 17:09:57 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 90]
2012-08-12 17:10:18 Debug: 0
2012-08-12 17:10:18 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 90]
2012-08-12 17:10:34 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 90]
2012-08-12 17:11:35 Debug: 0
2012-08-12 17:11:35 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 90]
2012-08-12 17:12:15 Debug: 0
2012-08-12 17:12:15 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 90]
2012-08-12 17:13:17 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 90]
2012-08-12 17:13:26 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 90]
2012-08-12 17:13:27 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 90]
2012-08-12 17:13:27 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 90]
2012-08-12 17:13:28 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 90]
2012-08-12 17:13:45 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 90]
2012-08-12 17:13:46 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 90]
2012-08-12 17:13:46 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 90]
2012-08-12 17:15:50 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:15:51 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:16:38 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:16:39 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:16:39 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:16:40 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:17:06 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:17:29 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:17:41 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:18:41 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:19:48 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:19:50 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
